date,region,sales
2018-02-06,north,298116
2018-02-06,south,301401
2018-02-06,east,332929
2018-02-06,west,269361
2018-02-07,north,279841
2018-02-07,south,320356
2018-02-07,east,264196
2018-02-07,west,297025
2018-02-08,north,285156
2018-02-08,south,262144
2018-02-08,east,251001
2018-02-08,west,321489
2018-02-09,north,343396
2018-02-09,south,306916
2018-02-09,east,352836
2018-02-09,west,255025
2018-02-10,north,306916
2018-02-10,south,269361
2018-02-10,east,302500
2018-02-10,west,311364
2018-02-11,north,268324
2018-02-11,south,279841
2018-02-11,east,271441
2018-02-11,west,345744
2018-02-12,north,343396
2018-02-12,south,287296
2018-02-12,east,273529
2018-02-12,west,303601
2018-02-13,north,274576
2018-02-13,south,327184
2018-02-13,east,349281
2018-02-13,west,330625
2018-02-14,north,346921
2018-02-14,south,324900
2018-02-14,east,320356
2018-02-14,west,254016
2018-02-15,north,338724
2018-02-15,south,334084
2018-02-15,east,258064
2018-02-15,west,289444
2018-02-16,north,276676
2018-02-16,south,352836
2018-02-16,east,259081
2018-02-16,west,341056
2018-02-17,north,354025
2018-02-17,south,316969
2018-02-17,east,299209
2018-02-17,west,275625
2018-02-18,north,300304
2018-02-18,south,311364
2018-02-18,east,267289
2018-02-18,west,335241
2018-02-19,north,271441
2018-02-19,south,301401
2018-02-19,east,286225
2018-02-19,west,263169
2018-02-20,north,320356
2018-02-20,south,275625
2018-02-20,east,250000
2018-02-20,west,267289
2018-02-21,north,335241
2018-02-21,south,264196
2018-02-21,east,308025
2018-02-21,west,266256
2018-02-22,north,297025
2018-02-22,south,295936
2018-02-22,east,309136
2018-02-22,west,345744
2018-02-23,north,261121
2018-02-23,south,271441
2018-02-23,east,299209
2018-02-23,west,349281
2018-02-24,north,294849
2018-02-24,south,320356
2018-02-24,east,330625
2018-02-24,west,329476
2018-02-25,north,283024
2018-02-25,south,324900
2018-02-25,east,297025
2018-02-25,west,305809
2018-02-26,north,315844
2018-02-26,south,261121
2018-02-26,east,258064
2018-02-26,west,260100
2018-02-27,north,308025
2018-02-27,south,319225
2018-02-27,east,276676
2018-02-27,west,291600
2018-02-28,north,346921
2018-02-28,south,281961
2018-02-28,east,337561
2018-02-28,west,269361
2018-03-01,north,309136
2018-03-01,south,352836
2018-03-01,east,259081
2018-03-01,west,309136
2018-03-02,north,297025
2018-03-02,south,273529
2018-03-02,east,338724
2018-03-02,west,349281
2018-03-03,north,263169
2018-03-03,south,250000
2018-03-03,east,273529
2018-03-03,west,269361
2018-03-04,north,349281
2018-03-04,south,300304
